ID;palavra;categoria;número de sílabas;classificação por número de sílabas;acento;tipo de acento
1;luva;regulares;;;;
2;pato;regulares;;;;
3;táxi;irregulares;;;;
4;exame;irregulares;;;;
5;trincha;dígrafo consonantal;;;;
6;unhas;dígrafo consonantal;;;;
7;serpente;sílabas CVC;;;;
8;disco;sílabas CVC;;;;
9;blusa;ssílabas CCV;;;;
10;glutões;ssílabas CCV;;;;
11;lua;regulares;;;;
12;pneumoultramicroscopicossilicovulcanoconiótico;dígrafo consonantal;;;;
13;órgão;regulares;;;;
14;abacate;regulares;;;;
15;amiga;regulares;;;;
16;amigo;regulares;;;;
17;banana;regulares;;;;
18;batata;regulares;;;;
19;bigode;regulares;;;;
20;bocado;regulares;;;;
21;boneca;regulares;;;;
22;boneco;regulares;;;;
23;bule;regulares;;;;
24;cabana;regulares;;;;
25;camisa;regulares;;;;
26;caneta;regulares;;;;
27;cavalo;regulares;;;;
28;copo;regulares;;;;
29;dado;regulares;;;;
30;dedo;regulares;;;;
31;fada;regulares;;;;
32;fita;regulares;;;;
33;gato;regulares;;;;
34;janela;regulares;;;;
35;lata;regulares;;;;
36;macaco;regulares;;;;
37;mala;regulares;;;;
38;menina;regulares;;;;
39;menino;regulares;;;;
40;mesa;regulares;;;;
41;panela;regulares;;;;
42;pato;regulares;;;;
43;pelota;regulares;;;;
44;peteca;regulares;;;;
45;pipa;regulares;;;;
46;pipoca;regulares;;;;
47;pote;regulares;;;;
48;rato;regulares;;;;
49;sapato;regulares;;;;
50;sapo;regulares;;;;
51;tapete;regulares;;;;
52;tatu;regulares;;;;
53;tomada;regulares;;;;
54;exame;irregulares;;;;
55;exato;irregulares;;;;
56;exemplo;irregulares;;;;
57;exílio;irregulares;;;;
58;exército;irregulares;;;;
59;hemodiálise;irregulares;;;;
60;hemodinâmica;irregulares;;;;
61;hemoterapia;irregulares;;;;
62;herói;irregulares;;;;
63;heroína;irregulares;;;;
64;heterogêneo;irregulares;;;;
65;heterônimo;irregulares;;;;
66;hiena;irregulares;;;;
67;hino;irregulares;;;;
68;hiperativo;irregulares;;;;
69;hiperemia;irregulares;;;;
70;hipoteca;irregulares;;;;
71;hipótese;irregulares;;;;
72;hipotético;irregulares;;;;
73;hábito;irregulares;;;;
74;higiene;irregulares;;;;
75;hoje;irregulares;;;;
76;hora;irregulares;;;;
77;humano;irregulares;;;;
78;hípica;irregulares;;;;
79;taxi;irregulares;;;;
80;xenofobia;irregulares;;;;
81;xenofilia;irregulares;;;;
82;xenogamia;irregulares;;;;
83;xenófobo;irregulares;;;;
84;xenônio;irregulares;;;;
85;toxina;irregulares;;;;
86;anexo;irregulares;;;;
87;asfixia;irregulares;;;;
88;sintaxe;irregulares;;;;
89;léxico;irregulares;;;;
90;dureza;irregulares;;;;
91;certeza;irregulares;;;;
92;beleza;irregulares;;;;
93;riqueza;irregulares;;;;
94;agulha;dígrafo consonantal;;;;
95;alho;dígrafo consonantal;;;;
96;aranha;dígrafo consonantal;;;;
97;banho;dígrafo consonantal;;;;
98;barriga;dígrafo consonantal;;;;
99;burro;dígrafo consonantal;;;;
100;cachorro;dígrafo consonantal;;;;
101;caminho;dígrafo consonantal;;;;
102;chamada;dígrafo consonantal;;;;
103;chave;dígrafo consonantal;;;;
104;chão;dígrafo consonantal;;;;
105;chefe;dígrafo consonantal;;;;
106;chocolate;dígrafo consonantal;;;;
107;choro;dígrafo consonantal;;;;
108;chuva;dígrafo consonantal;;;;
109;chuveiro;dígrafo consonantal;;;;
110;coelho;dígrafo consonantal;;;;
111;corrida;dígrafo consonantal;;;;
112;ferro;dígrafo consonantal;;;;
113;filho;dígrafo consonantal;;;;
114;folha;dígrafo consonantal;;;;
115;galho;dígrafo consonantal;;;;
116;galinha;dígrafo consonantal;;;;
117;garrafa;dígrafo consonantal;;;;
118;joelho;dígrafo consonantal;;;;
119;lhama;dígrafo consonantal;;;;
120;linha;dígrafo consonantal;;;;
121;manhã;dígrafo consonantal;;;;
122;milho;dígrafo consonantal;;;;
123;minha;dígrafo consonantal;;;;
124;ninho;dígrafo consonantal;;;;
125;olho;dígrafo consonantal;;;;
126;orelha;dígrafo consonantal;;;;
127;palha;dígrafo consonantal;;;;
128;serra;dígrafo consonantal;;;;
129;sonho;dígrafo consonantal;;;;
130;telha;dígrafo consonantal;;;;
131;terra;dígrafo consonantal;;;;
132;torre;dígrafo consonantal;;;;
133;velho;dígrafo consonantal;;;;
134;amor;sílabas CVC;;;;
135;anel;sílabas CVC;;;;
136;animal;sílabas CVC;;;;
137;azul;sílabas CVC;;;;
138;bem;sílabas CVC;;;;
139;cal;sílabas CVC;;;;
140;calor;sílabas CVC;;;;
141;cantar;sílabas CVC;;;;
142;comer;sílabas CVC;;;;
143;cor;sílabas CVC;;;;
144;dor;sílabas CVC;;;;
145;falar;sílabas CVC;;;;
146;favor;sílabas CVC;;;;
147;faz;sílabas CVC;;;;
148;fim;sílabas CVC;;;;
149;funil;sílabas CVC;;;;
150;jardim;sílabas CVC;;;;
151;luz;sílabas CVC;;;;
152;mal;sílabas CVC;;;;
153;mar;sílabas CVC;;;;
154;mel;sílabas CVC;;;;
155;menor;sílabas CVC;;;;
156;metal;sílabas CVC;;;;
157;motor;sílabas CVC;;;;
158;papel;sílabas CVC;;;;
159;paz;sílabas CVC;;;;
160;poder;sílabas CVC;;;;
161;portal;sílabas CVC;;;;
162;saber;sílabas CVC;;;;
163;sal;sílabas CVC;;;;
164;sim;sílabas CVC;;;;
165;sol;sílabas CVC;;;;
166;tal;sílabas CVC;;;;
167;tambor;sílabas CVC;;;;
168;tem;sílabas CVC;;;;
169;valor;sílabas CVC;;;;
170;vez;sílabas CVC;;;;
171;viver;sílabas CVC;;;;
172;voz;sílabas CVC;;;;
173;pastel;sílabas CVC;;;;
174;bloco;sílabas CCV;;;;
175;blusa;sílabas CCV;;;;
176;brasa;sílabas CCV;;;;
177;bravo;sílabas CCV;;;;
178;breve;sílabas CCV;;;;
179;briga;sílabas CCV;;;;
180;broto;sílabas CCV;;;;
181;claro;sílabas CCV;;;;
182;clima;sílabas CCV;;;;
183;cravo;sílabas CCV;;;;
184;creme;sílabas CCV;;;;
185;cria;sílabas CCV;;;;
186;cruzeiro;sílabas CCV;;;;
187;dragão;sílabas CCV;;;;
188;drama;sílabas CCV;;;;
189;flauta;sílabas CCV;;;;
190;floco;sílabas CCV;;;;
191;fraco;sílabas CCV;;;;
192;frita;sílabas CCV;;;;
193;fruta;sílabas CCV;;;;
194;grama;sílabas CCV;;;;
195;grato;sílabas CCV;;;;
196;grito;sílabas CCV;;;;
197;plano;sílabas CCV;;;;
198;pluma;sílabas CCV;;;;
199;prato;sílabas CCV;;;;
200;preto;sílabas CCV;;;;
201;primavera;sílabas CCV;;;;
202;preso;sílabas CCV;;;;
203;trevo;sílabas CCV;;;;
204;trigo;sílabas CCV;;;;
205;troco;sílabas CCV;;;;
206;trama;sílabas CCV;;;;
207;trofa;sílabas CCV;;;;
208;placa;sílabas CCV;;;;
209;prosa;sílabas CCV;;;;
210;droga;sílabas CCV;;;;
211;grade;sílabas CCV;;;;
212;clara;sílabas CCV;;;;
213;frota;sílabas CCV;;;;
