ID;palavra;categoria;número de sílabas;classificação por número de sílabas;acento;tipo de acento;peso palavra;dificuldade
1;luva;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
2;pato;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
3;táxi;irregulares;2.0;Dissílaba;1.0;agudo (´);5.0;fácil
4;exame;irregulares;2.0;Dissílaba;0.0;;4.0;muito fácil
5;trincha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
6;unhas;dígrafo consonantal;1.0;Monossílaba;0.0;;4.0;muito fácil
7;serpente;sílabas CVC;3.0;Trissílaba;0.0;;7.0;muito difícil
8;disco;sílabas CVC;2.0;Dissílaba;0.0;;6.0;médio
9;blusa;ssílabas CCV;2.0;Dissílaba;0.0;;;
10;glutões;ssílabas CCV;2.0;Dissílaba;1.0;til (~);;
11;lua;regulares;1.0;Monossílaba;0.0;;2.0;muito fácil
12;pneumoultramicroscopicossilicovulcanoconiótico;dígrafo consonantal;19.0;Polissílaba;1.0;agudo (´);23.0;muito difícil
13;órgão;regulares;2.0;Dissílaba;2.0;agudo (´), til (~);5.0;fácil
14;abacate;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
15;amiga;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
16;amigo;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
17;banana;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
18;batata;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
19;bigode;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
20;bocado;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
21;boneca;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
22;boneco;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
23;bule;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
24;cabana;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
25;camisa;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
26;caneta;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
27;cavalo;regulares;3.0;Trissílaba;0.0;;4.0;muito fácil
28;copo;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
29;dado;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
30;dedo;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
31;fada;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
32;fita;regulares;2.0;Dissílaba;0.0;;3.0;muito fácil
